document,labels
드디어 장만했습니다 야호~~ 얼마전 까지 드립으로 마셨는데 자꾸만 커피 머신이 하나 있으면 얼마나 좋을까 하면서 여기 저기 기웃거렸는데 ㅎㅎ유난스럽지 않게 적당한 사이즈와 비로 시꺼멍스지만 번들거리지 않는 색감도 맘에 들었어요ㅎㅎ  게다가 집에서 카푸치노까지~ 원두도 바닐라 가루도 덩달아 장만해야 할 품목이 많았지만 커피숖에서 한 잔에 들이는 비용에 비하면 장기적으로 저금한다 애써 최면을 겁니다 ㅋㅋ  광고에 있는 거 처럼 크레마가 풍부해서( 하~~ 이 크레마가 살찌우는 거라고 하던데... ) 고급진 커피숖에서 대접 받는 기분 만끽합니다ㅋㅋ,1
우선 크기가 테이블 위에 쓱 놓고 요리해 먹기에 딱 좋은 사이즈네요. 4인 가족이 먹기에 좀 작나 싶은데 막상 요리해보면그렇지도 않구 적당한 사이즈가 손도 자주 간답니다^^온도 조절하는 것도 다이얼로 단계 조절하면 간편하게탕이든 육수든 내기 편한 제품이구요~ 무엇보다 세라믹 코팅 처리되어 있어어떤 식재료를 넣어도 눌러 붙지도 않고눌러 붙는다 해도 쉽게 내솥은 물세척 할 수 있어 위생적이고 전기 접촉하는 부분만 물 닿지 않도록 주의하면 되네요 요즘 음식 할 때마다 자주 손이 자는 사랑스런 제품입니다^^,1
소음이 넘 심해요...다른집에 들릴까봐 제대로 사용할 수도 없을듯 합니다...방송에서는 이렇게 소리가 클줄 몰랐는데.... ㅠㅠ 글라스라 무겁긴 하네요... 그래도 위생상은 좋을듯...,2
"커피를 워낙 좋아해서 집에서 카페 분위기 내고 싶어 구입했는데디자인부터 정말 카페에서 사용하는 제품 같네요약간 유니크한 느낌도 있고 색상도 너무나 감성적이라 질리지 않아요에스프레소 내려봤는데 스팀 우유거품기로 마셨더니 굳이 비싼 카페 갈 필요 없을 정도로 양품의 커피 완성!!  덤핑해서 내렸더니 커피도 진하게 잘 나오구요하루는 에스프레소, 하루는 우유타서 라떼로,하루는 시크하게 아이스 아메리카노 다양한 커피를 이정도 가격에집에서 구비하고 있으니 친구들 자꾸 초대하고 싶어져요커피랑 어울리는 홈베이킹도 관심있어 비슷한 느낌으로찾아보고 있습니다 ㅎㅎ",1
"남 동생이 분가를 하게 되어 누나인 제가 냉장고 하나 사 주기로 했습니다 당연히 요즘 유행하는 컬러풀하면서 양문형 고급진 냉장고를 고를거라 생각했는데,, 남동생은 이 정도만도 충분하다고 합니다. 깔끔한 흰색도 좋고 포장채로 넣어두기도 용이하다며 차액은 현금으로 달라고 하는... 이건 뭔지~~ ㅎㅎ 하긴 제가 현금으로 주더라도 계산은 저렇게 가능한 거니~~ 원하는 사람에게 원하는 방법으로 주는 세상 편한 선물을 하고 고맙다는 인사 두배로 받았습니다. 아무래도 배달음식이 남아 포장된 채로 냉장고에 들어갔다 또 나올 걸 생각하는 엄마는 벌써부터 먹거리 걱정이시네요~",1
"과일 야채 채소 갈아 먹을 일은 없고 아침에 간단하게 한 끼, 하루 종일 들고 다니며 마실 거리위해서 가격이 저렴한 후기를 참고해서 구매했습니다^^  미숫가루나 단백질 파우더 강황 가루 같은 거 우유에타서 텀블러에 넣고 입 심심 할 때 마십니다. 그래서 용량이 좀 더 컸으면 좋겠다 생각 중에 조금 되직하게 타서 텀블러에 넣고 우유를 더해 흔들어 마시면 농도가 맞아서 텀블러 용량을 좀 더 키웠는데 딱 좋네요 ㅋㅋㅋ파스텔톤도 이쁘고 이 정도의 분쇄도 충분합니다.  손으로 흔들면 꼭 가루가 뭉쳐서 ....ㅎㅎ일주일에 1키로만 빠지면 좋겠어요~ ^^",1
"친정이 어시장이랑 가까운 곳이어서 철마다 친정어머니께서 생선을 장만해서 택배로 자주 보내주십니다. 그렇다보니 냉동실에 여러 종류의 생선들로 가득하답니다~ㅎ 우리집에는 생선구이기가 필수적으로 필요하기때문에 여러 제품 비교해본 후에 이 제품으로 결정했답니다.생선은 구우면 온 집안에 냄새랑 연기가 가득해서 다들 싫어하지요ㅠ 근데 놀랍게도 이걸로 생선을 구웠더니 연기도 냄새도 거의 나지 않더라구요. 정말 신기했어요~!!! 세라믹 필터 탑재로 연기와 냄새를 제거해주었기 때문입니다. 대박이네요!!!^^다양한 구이 요리가 가능한 대형사이즈로, 넉넉해서 사용하기 정말 좋습니다. 게다가 구성품들이 쉽게 분리돼서 세척이 아주 간편합니다^^",1
"여러가지 음식을 조리할 때는 가스레인지 3구가 실용적으로 잘 사용되서 정말 좋습니다. 큰냄비랑 작은 냄비, 후라이팬 등 다양한 조리도구를 이용해서 동시에 요리를 해야 하는 경우가 많습니다. 그런데 3구 간격이 서로 별로 차이가 나지 않아서 냄비끼리 닿아서 스파크가 일어나는 경우가 있더라구요.ㅠ 정말 위험한 일이죠?ㅜㅜ 좀 더 넓은 간격유지가 되었으면 좋겠다는 생각을 했네요~대부분의 가스레인지와 별반 차이가 없는 평범한 디자인은 좀 아쉬웠습니다.ㅜ 그치만 건전지 교환램프가 깜빡거려서 건전지 교환시기를 알려주니까 너무 편하더라구요.자동으로 불꽃을 조절해주는 스마트 센서 기능도 탑재되어 있어서 화재 발생 걱정은 덜었답니다^^ 편안한 마음으로 요리가 가능해진 거지요~ㅎㅎ 완전 좋아요!!!^^",0
아줌마들의 로망 인덕션~ 그동안 가스레인지 쓰면서 건강 걱정했는데 이제 저의 폐를 지킬수 있게 되었어요. 가스레인지보다 요리 완성되는 시간이 빨라요. 기존에 10분 끓일거 지금은 6~7분이면 완성되는거 같아서 성능은 인정할수밖에 없네요.하이라이트가 있어서 뚝배기를 사용할수가 있어요. 우리집은 뚝배기 된장국이나 뚝배기 불고기를 잘 해먹었던지라 하이라이트가 더 반갑더라구요.기존 그릇들 버리지 말고 사용하시면 됩니다.실버 바디에 블랙 상판도 조화로워 고급미를 뿜어 내서 볼때마다 흐뭇합니다. 다른 주부들도 폐 건강을 위해 가스레인지에서 탈출하시길~,1
얼마전 티비에서 제빵기로 집에서 밤식빵을 만드는 걸 보고 나도 집에서 충분히 할 수 있을거 같아서 구매하게 되었어요. 여러 제품 비교 하다 그래도 이 제품이 제일 마음에 들어 구입하게 되었네요. ^^제품 테스트해봤어요. 안내 설명서 대로 반죽 날 장착후에 안내문에 나오는데로 재료를 차례대로 넣어주기만 하고 전원 버튼 누른후 식빵 모드만 선택해 주면 식빵이 나오네요. 사용방법이 너무 쉽네요. 평소 똥손인 저도 쉽게 할 수 있었어요. 그런데 제품의 특성인지 작동하는 도중 물건이 너무 뜨거워 지네요. 별 생각없이 만지다가 손을 델뻔했어요. 이렇게 발열감이 심한건 문제있는거 아닌가 하는 생각이 드네요 ㅜㅜ,0
예전에 쓰던 상품이 고장 나서 이번에도 같은 회사 제품으로 교체했어요. 워낙 유명해서 계속 쓰게됩니다.가스레인지 매립형인데 기존에 쓰던거 떼어 내고 올려주면 됩니다.직접 설치는 좀 어려운거 아시죠?전 요리할때 불 맛 나는걸 좋아해서 화력 좋은걸 좋아해요그런데 이건 좀 쓰다보면 자꾸 불이 줄어버려서 불편합니다.에휴... 정말 그냥 옛날 것이 좋은것 같습니다.처음 가스 켤때 유달리 냄새도 많이 나는 것이 성능도 의심 스럽습니다.점화 기능이 약한건가? 괜히 맘이 안좋네요. 모서리 마감처리도 매끈하지 않아요. 어차피 안으로 들어 갈 테지만 찜찜하네요.,2
평소에는 물건 살때 직접 오프라인 매장을 방문하고 비교해 가면 구매하는데 이번에는 김치 냉장고는 당장 필요한데 제가 일이 바빠 쇼핑을 할 수 없어서 인터넷으로 주문했더니 역시나.. 크기가 생각했던거 보다 너무 크네요. 용량만 보고 냉장고의 반밖에 안되는 김치 냉장고 크기도 반이나 그보다 조금 더 크겠지 했는데 웬걸 너무 크네요. 그래서 그렇잖아도 작은 부엌 공간이 더 작아져 버렸네요 ㅜㅜ 그리고 지나가다 만졌는데 옆면이 너무 뜨거워 지네요. 이런 발열감 괜찮은 건지 걱정이 되네요. 아무래도 내일 고객센터에 전화해서 문의 해 봐야겠어요.역시 물건은 직접 보고 구매하자하는 마음이 더욱 더 견고해졌네요.,2
뚜껑에 실리콘 패킹 같은게 없어요. 주전자를 기울이면 뚜껑이 빠지니까 주의하세요. 가격은 저렴하고 좋아요.,0
회전력이 약하네요 싼맛에 산거지만 좀 효용가치가 떨어지네요,2
○○이라 구매했어요 간편하고 잘 되네요 31년 쓴 ○○제품 좋네요,1
남편이 고기없인 밥을 안먹는 사람이라 자주 고기굽는데  화력이 세서 좋네요. 식탁에 올려놓고  사용시 기름이 튀어 좀 불편하긴하네요,0
디자인 예쁘고 색상 너무예쁘고 요리하기 편리해서 좋아요,1
추석 음식 만들때 사용할려고 구입했는데 아직 사용전입니다..아담한 사이즈라 현 시대 가정에서 사용하기에 적절한 제품인 것 같고 OOO이라 일단 믿고 구매했습니다.,0
"대박입니다... 특히 육류, 생선 다지기 잘 되어서 너무 만족합니다...이제 집에서 동그랑땡 척척..대박이죠",1
"남편이 지방에 혼자 있는데 사용하기 편할 것 같아 구매했어요. 잘 받아서 마를 날마다 잘 갈아 먹는다네요. 성능이 좋다고 해요. 사용하기 편리하고, 세척도 간펀해서 좋다고 하네요.ㅎㅎ",1
조기를 구워봤는데 제품 밖으로 비린내 엄청나오네요.ㅠㅠ발코니에서 문열어놓고 조리해야 될것같고 중간에 한번 뒤집어줘야 앞뒤로 잘익혀지니 반드시 뒤집어줘야 하네요...,2
두번째구입읻요     써보니 사용하기 편해서 좋아서  엄마네도  선물해 드렸는데 좋아하시네요  두번째구입은 더 가격이 비사요 싸게해주셨으면 좋으련만...그런 생각도 합니다,0
이 가격대에 이 정도 성능이면 너무 잘 샀네요 기능도 여러개 들어있지만 디스플레이 화면이 밝아서 눈에 잘 들어오네요 간편하게 조작할 수 있어서 사용하기 편하네요 ^^,1
조잡해요. 계란 삶을려면 옆에서 꼼짝도 못하고 값어치른 하네요.  전체가 플라스틱이네요. 한번쓰고 버렸네요.,2
뚜껑이 닫히지 않아 애를 먹었습니다. 뚜껑을 편하게 닫을 수 있도록 개선 했으면 더 좋겠습니다. 그리고 밥을 하루 보온시 눌어 붙어 밥풀떼기를 떼기도 아주 힘듭니다. 비강추 입니다.,2
제품 구매후 감자전해먹었는데 잘갈리고 좋아요~! 근데 생각보다 손잡이가 무겁고 버튼을 누르려면  힘을 좀 줘야하는  불편함이 있네요. . . 칼날이 위험해서 그런건지 몰라도 버튼이 빡빡해서 계속 쥐고 있으면 손목이 좀 아프긴 하더라구요  오래쓰니 액체에  넣고 바로 갈아도 밖으로 튀지 않고 그냥 믹서기보다 번거롭지 않아서 사용하기 만족하고 좋아요~ 다음번에는 마요네즈도 해먹어봐야겠어요,0
주방 사이즈와 제품 사이즈가 잘 맞아 좋네요.  아직 작동법이 익숙지 않아 사용이 어려워요.,0
착한 가격에 잘 산 듯해서 기분 좋아요. 이제품은 건전지가 앞면  쪽에서  들어가 편해요   화구 사이즈도 달라서 크기별로  사용하지 좋네요,1
가스 밸브 잠금 같은 거 신경 쓰지 않고 사용할 수 있어 편해서 만족합니다.근데 소음이 좀 나서 신경쓰여요,0
색상은 화이트색이라 훨씬 깔끔해서 좋아요. 사용해보니 물이 1분이 지나면 바로 끓기 시작해서 깜짝놀랐네요^^ 다만 아쉬운 점이 사용하고 난 뒤 잔열 없애는 시간이 좀 오랫동안 지속되어 한참뒤에나 사용할수 있어서 그게 좀 불편해요. 그래도 이 가격에 이렇게 좋은 제품을 살 수 있어서 만족스럽습니다^^,1
저한테는 설치가 좀 어려웠어요.  무게감도 있어 힘드네요,2
식탁에서  사용하기  편하고  세척도 쉬워서 좋아요,1
저희집 싱크대랑 사이즈가 아주 찰떡궁합으로 잘 맞아요! 새 제품이라 디자인도 고급지도 마음에 쏙 듭니다,1
냉장고 키가 높아서 김치 꺼내기 좀 힘드네요. 상부에는 엔진이 달려 있어서 공간이 협소해서 아쉽네요..,2
기존에는  3도어 김치냉장고를 사용 했어요. 1도어로 교체하니 여러모로 편하네요  수납량도 더 많아 사용하기 너무나 좋습니다.,1
화이트 컬러로 구매했는데 아이보리색이 나면서 완전 고급지고 예뻐요. 디자인도 심플하니 부엌이 확 사네요 너무 좋아요.,1
냉장고 정말 조용해서 좋아요. 소음이 거의 없어요. 성능은 말할것도 없이 완벽하네요. 냉각 쿨링 유산균 탈취등등 너무 잘되서 좋아요. 색깔은 베이지 선택했는데 은은해서 마음에 쏙 드네요. 디자인은 너무 고급스러워서 따로 인테리어 안해도 되서 좋아요.,1
그릇 넣는 공간이 진짜 너무 작아서 실망스럽습니다. 기계를 두 번 돌려야 되지만 편리해서 만족합니다.,0
식기세척기가 색깔도 너무 예뻐서 마음에 드네요. 그리고 용기에 따른 선반이 따로 구성되어 있어 너무 좋네요. 가전은 역시 이브랜드가 짱이네요.,1
오늘에서야 써보내요. 온 집에 고소한 냄새가 진동하네요. 약하게 볶은 깨1키로로 본거준 병 2개로 많이 나와서 좋아요~  작동법도 간단해서 사용하기 편합니다.,1
소독 기능이 있어서 안심되고 너무 좋아요. 디자인도 예뻐서 주방이랑 잘 어울려서 만족해요~,1
6인용사이즈 크기가 클까 봐 걱정했는데 적당해요! 2단으로 분리까지 되면 사용하기 더 좋았을 텐데 안돼 아쉽네요!,0
"웓팬도 충분히 들어갈 정도로 사이즈가 아주 커요, 기대 이상으로 식기들 세척이  깨끗하게 잘 되요!",1
OOO 전자레인지 컬러 블랙으로 샀는데 고급스럽고 너무 예뻐요. 기계소음이 좀 있는 편이라 밤에 시끄럽긴하네요.,0
디자인 너무 이쁘고 세련되서 마음에 들고요. 출력 기능도 세서 음식이 잘 데워지니 좋습니다. 배송은 좀 느려서 별로에요,1
다른 타브랜드 했다가 환불하고 이 브랜드 구매했는데 디자인 정말 예쁘네요! 기다린 보람이 있어요^^  전체적인 기계음이 너무 시끄러워서 음량조절이 가능했음..하는..아쉬움이 있네요,0
화이트 톤이라 확실히 세련되보여요 다른 가전들이랑도 잘어울려요. 가열도 확실히 빠르게 되서 너무 편해요.,1
성능이 높아서  좋은 것 같아요.  작동할때 이상한 괴음이 납니다. 상품 불량 같아서 기분이 별로 안 좋습니다,0
내부가 생각보다는 넓어서 사용하기 유용합니다. 하지만 색상이 너무 블랙이라서 어두침침해 보여 그게 좀 아쉽네요,0
복합형 오븐이라더니 정말 다양한 기능 외에도 발효 건조 등 완벽하네요 너무 좋아요.  역시 OOO브랜드 제품은 가격이 조금 나가지만 돈이 아깝지 않았습니다.,1
토스트 오븐 상부에는 기본적으로 빵종류 조리시간이 표기되어 있어 너무 좋아요. 별도의 설명서가 필요없네요. 빵의 부피가 좀 큰 경우 안의 내부가 높이가 높지 않아서 빵 윗부분이 쉽게 타서 조절하기가 불편해요.,0
사용할 때마다 소리는 왜 이렇게 큰 건지.. 진짜 별로네요. 디자인도 다들 이쁘다는 후기 보고 샀는데 별로에요,2
블랙 쓰다가 화이트 색으로 바꿨는데 분위기가 화사해졌어요! 기존 쓰던 제품과 성능은 같고 기능 중 보온 기능이 추가되어 쓰기 더 좋아졌네요,1
디자인이 심플해서 주방 가전이랑 잘 어울려 좋습니다. 가격도 오프라인보다 저렴하게 잘 구입해서 만족합니다~^^,1
오프라인 매장에서 보고 반해 샀는데 디자인 정말 너무 고급져요! 예쁘네요. 다만 굉장히 다양한 기능이 있다보니 사용설명서를 보고 항상 요리 조리를 해야해서 번거로움이 있어요.,0
밥솥 옆에 두니 정말 크기가 어마무시합니다. 원래 놓으려했던 선반에 들어가지않아 식탁에 올려놨어요;; 내부용량은 역시 대용량이라 넉넉하니 좋아요. 걱정했던 소음 문제도 거의 없는 편이네요 좋아요.,0
가격대비 완전 만족스러운 제품이예요! 가성비 갑! 사용하기가 쉬워서 요리하기도 쉬워요 최고의 요리사로 만들어주네요. 다만 선반 위에 히터부분 청소가 좀 번거로운 편이예요.,0
"대량으로 밥하기 너무 편하고 배송, 포장상태는 양호합니다 단, 너무 무거워서 들면 손목이 빠질듯 합니다",0
글씨가 너무 작아서 잘 안 보여 불편하네요. 내 솥 소재도 스테인리스인데 밥이 자꾸 달라붙고 별로에요,2
내 솥 재질이 스테인리스라 세척도 용이하고 좋습니다~ 그런데 생각보다 내 솥 용량이 더 작아서 아쉽네요,0
엄마 혼자 쓰신다고 해서 작은 용량 사드렸는데 사용하기 적당하시데요. 디자인도 귀엽고 이뻐서 엄마가 더 좋아하세요,1
부모님께 사드렸어요. 실제 받아보니 디자인이 너무 멋지고 예뻐요.  믿고 구매한 000. 덕분에 매끼니 걱정없네요.  고장없이 오래 쓰고 싶어요~~,1
"급하게 제품 골라 구매했는데 처음 밥했을 때에는 밥이 잘 되고 맛도 있었는데, 보온 기능 문제인지 밥 색깔이 쉽게 변하는 것 같아 실망했어요",0
6인용으로 바꾸니 사이즈  완전 귀요미이예요. 밥 하기전 자동스팀 세척 후 밥하니 더 잘되는 기분이들어요,1
밥 잘되는 좋은 상품이라서 즐겁게  구매 했습니다. 가격대비 성능까지 너무 좋아 완전 강추.  굿굿굿!!!,1
컬러가 굉장히 화이트톤이라 깔끔하고 예뻐요. 3인용이라 그런가 사이즈가 굉장히 귀엽습니다.,1
기존에 있던 같은 브랜드 제품꺼보다 취사시간이 굉장히 오래걸려 불편하네요. 가격이 6만원대 치고는 그냥저냥 쓸만해요.,2
디자인 너무 예쁘고 귀여워서 마음에 드네요^^ 내 솥 용량도 4인 가구가 쓰기에 아주 적당합니다. 가격도 저렴하게 너무 잘 샀어요~,1
토마토랑 얼음넣고 갈아봤는데 건더기 없이. 잘. 갈려요.  한가지 단점은 소음이 좀 커요.,0
자동세척이 있어서 청소가 굉장히 편리하고 좋아요. 거기다 백미고압으로 밥을 지어봤는데 너무 찰져서 맛있어요 좋아요.,1
식구가 적은 집에 아주 딱 좋은 용량입니다~ 디자인도 아담하니 너무 예쁘네요,1
배송 빠르고 디자인이  심플하고 깔끔해서 인테리어용으로도 만족합니다. 밥도 딱 먹기 좋게 잘 되서  좋습니다,1
제품 받아서 밥 해봤는데 엄청 맛있거나 그러진 않아요 그냥저냥 먹을만해요. 실망스러워요. 근데 디자인은 정말 예뻐서 마음에 드네요.,0
ㅇㅇㅇ 기능 또한  믿고 쓸수 있는 제품입니다..  이쁜 디자인 덕에 주방이 환해져 추가 백 점 주고 싶네요~,1
결혼하면서 신혼가전으로 압력밥솥 샀는데 정말 일반 전기밥솥이랑은 퀄리티가 달라요.ㅋㅋ 압력으로 밥하면 밥맛 정말 꿀맛이고 윤기까지  좔좔 흘러요~!!,1
좋은 가격에 구매할 수 있어서 너무 만족합니다^^ 색상도 블랙이라 아주 고급스러워 보여요 최고입니다!,1
역시 고르고 고른 제품이라 너무 좋습니다 칸칸이 기능이 따로 설정되어 좋고 디자인이 세련되고 이쁘고요 배송도 빠르고 기사도 친절해요,1
필터가있어서 ~~ 좋은데 마트그런곳에는작은필터가없어서 ㅠ 작아서 좋고 편리하기는하는데  에궁,0
"리모컨이라 편하고 시원한데, 소음이 좀 큰 편이네요.",0
물이 아주 쭉쭉 차는거 보면 제습능력 짱입니다. 물통 용량도 넉넉하니 넘 좋아요. 이동시에 바퀴가 있긴 하나 전원 줄이 걸려 잘 안굴러가는 불편함이 있어요.,0
소음은 이정도는 기계니까 당연한듯. 시원하고 아주 만족 스러움 아이가 잘때 너무 더워해서 선풍기는 건강에 나빠 샀음.  설치후로 날씨가 선선해서 창문을 열고 싶지만 열수없는게 함정ㅋㅋ ,1
"실제로 보면 원형 팬 사이즈 다른 에어  서큘레이터보다 작습니다. 하지만 터치 기능과 상하회전 기능과 바람세기 9까지 있어 작지만 강합니다~바람 종류도 4가지, 바람세기는 9까지..에어컨 켜면 반드시 그 옆에 요 에어 서큘레이터를 켭니다~순환이 잘되서 금방 집 안 공기가 시원해집니다~10만원대 안 부럽네요~가격대비 짱입니다~^^",1
기존에 쓰던 에어컨이 오래되어 큰 맘먹고 교체했어요.이왕이면 자리 차지를 많이 하지 않는 사이즈였으면해서 슬림형으로 구매했는데 역시 디자인은 군더더기 없이 핏되게 깔끔하네요.그렇지만 소비전력이 너무 아쉬워요.절전형이긴 하지만 에너지효율이 4등급이라는 점을 미리 알고 구매했으면 좋았을텐데 꼼꼼한 비교를 해볼걸 후회가 남네요.다행히 스마트싱스 기능으로 소비전력 확인이 가능해서 전력소비량을 미리미리 체크할 수 있다는 점은 큰 장점이네요.제품 자체에 다양한 스펙이 포함되어 있어 여름철 내내 뽀송한 실내를 유지할 수 있다는 점이 가장 만족스럽습니다.,0
"여름에 부채 들고 다니기 짱나서 구매한 넥 밴드 선풍기일단 목 부분이 얇아서 땀이 잘 차지 않는데, 목이 아픕니다.땀이 잘 차질 않으나 면적이 좁아서 목이 결림..디자인은 다른 넥밴드랑 비교해 봤을 때보다 아주 좋은 거 같습니다.예뻐요.. 어느 옷에나 잘 어울리고요~ 그런데 바람 세기가 약합니다.2단계까지 올려야 어느 정도 시원하구나라는 느낌을 받습니다.그래서 그런지 배터리가 아주 빨리 닳아서 불편해요.. 속도가 어마어마하게 빨라서 좋습니다.하루에 3시간 연속으로 틀 수가 없어요.. 배터리가 빨리 닳기 때문이지요 ㅠㅠㅠ디자인만 예쁜 제품이었습니다",0
가전제품은 거거익선 크면 클수록 좋다길래 17L대용량으로 구매했더니 넘 좋습니다. 성능은 대용량답게 물이 뚝뚝 떨어지는거 보니 제습효과는 상당히 우수하네요. 집안에 습기는 모두 이 녀석이 책임지고 있답니다. 거실에서 작동시킨건데 열어놓으면 안방.작은방까지 습기 다 잡아먹어 완전 효자 아이템이네요.상품설명에 집중건조기능이 있다길래 당연히 집중건조킷트가 같이 동봉되어 오는줄 알았는데 따로 별도 구매해야하는거네요. 저렴한 가격도 아닌데 구성품이 하나 없이 와서 그점은 조금 실망스러워요. 집중건조킷트는 따로 내돈 주고 사야하다니 집중건조기능은 킷트 사야만 쓸수있는 기능이었네요ㅠㅠ그리고 물통 소재도 많이 약해보이네요. 몇번 떨어뜨렸더니 살짝 실금이 생겼어요. 이거 따로 구매도 안된다는데 이거 물이 새면 제습기를 버려야하는건가요? 좀더 튼튼한 소재였음 좋았을뻔했네요.,0
"생각보다 소음이 좀 심해서 정신이 없어요. 실내기가 내장된 제품이라서 조금은 소음이 있을 것이라고 생각 했지만,머리가 아플 정도까지는 생각지 못했어요. 17년도에 에어컨 주문해놓고 2주를 기다린 적이 있어서,빨리 받고 싶은 마음에 OOO 이동식 에어컨을 주문해서 실 사용해보니, 소음이 커서 아차 싶엇어요. 소음이 생각보다 넘 심해 골치가 아파요. 좀 기다러도 실외기가 있",2
설치간편하고 실외기없어서 좋았어요 성능도 엄청좋아요~,1
소리가 좀 커지만 바람도세고  리모컨이있어 잘 사용하고있어요.,1
혼자쓰기 사이즈 넉넉하고  온도조절기도  간단하니 좋아요.,1
최고로올려도 분무양이 풍부하지는안네요  소음도 좀있구요적립금써서 싸게사긴했지만... 싼맛에 그냥쓸려구요,2
적립금 써서 저렴하게 잘 구매했네요  품질은 가격정도만 생각하심 될꺼 같아요 그냥저냥 쓸만해요 성능이 나쁜것 같지는 않아서 사용하는데는 지장 없을듯해요 ,0
이전에도 구입하였었는데 재구매합니다 아직 소음이 있기는 합니다만 이전것에 비해 소음이 적어졌네요 더운여름전기료 걱정없이 잘사용할것같아 좋아요,0
작은 욕실에 작은 제품으로 사용하니 간편해서 좋아요!!  처음부터  3~4단으로 돌려야 공기가 빨리 데위져서 따뜻해집니다.,0
회색 제품이 품절이라서 흰색으로 보내주신다 하여 주문햇는데 회색이 왔어요. 색상 실망 ㅜ   겨울가전이 제일 비싼 시기에 비싸게 제품 구입했어요. ㅜ 미리 사둘걸 후회.  제품은 마감이나 퀄리티는 좋습니다. ~!,0
제품 사용할때 가볍고 착용시 이질감 없습니다만 생각보다는 바람이 강하지는 않아요  아이들용으로는 품질 만족합니다,0
제품 켤때 냄새가 좀 있고 그외에는 냄새없어 좋습니다. ^^ 전체적인 동작을 살펴보니 한타이밍씩 좀 늦어 좀 불편하네요. ㅜ 안전때문인것 같긴하지만요.. ㅜ,0
사이즈가 작아서 아쉽지만 귀여워요~~ 따뜻한 바람은 잘 나오고 소음이 있지만 만족합니다.,0
차박 캠핑용으로 구입해서 아담한 사이즈 원했느데 실물이 딱 원했던 크기에요. 만족 제품 발열기능이 좋아서 선택했어요. ^^ 부속품으로 함께온 수납가방도 무척 활용도가 좋네요.. 감사합니다.,1
제품 성능 좋아 야외 추운 현장에서도 만족하며 잘 사용해요 ~!  제품 화력이 좋아  금새 공기가 따뜻해져요. ^^ 제품이 가벼워 이동이 편리해서 좋아요~!.,1
제품 켜면 금새 따뜻해져서 편리하고 좋아요.  발이 차가워 책상밑에 놔두고 사용하는데 1단으로 해놓아도 충분히 따듯하네요.. 만족하고 잘샀어요~,1
제품 사이즈가 작아서 휴대하기 편리해서 좋아요. 공부하는 학생 또는 사무실에서 사용하기 알맞은 사이즈에요.  제품 디자인도 예뻐서 마음에 들어요.  다만 화력이 예상보다 세지 않아 많이 따뜻하진 않아요. ㅜ 아쉬워요.  제품을 아주 가까이 두고 사용하거나 책상아래 시린발 녹이는 정도로는 성능이 괜찮은 편이에요..,0
해도해도 너무하네요ㅠㅠ 허접해도 너무 허접해요ㅠㅠ 흰색에 손때 잔뜩 묻어있는데 닦이지도 않구요 높이조절도 나사로 고정되서 안되고 팬 고정도 나사로 하는건 첨 보네요 밑바닥도 완전 헉~~화가나네요ㅠㅠ 무조건 반품하고 싶었지만 박스 포장 다시하는게 귀찮아 그냥 올해만 쓰고 버릴거같아요ㅠㅠ 진짜 화나려고해요~ 무조건 실망합니다~,2
빠른 배송이 마음에 드네요. 조립과 사용방법이 쉬워서 편리해요. 스크래치 없이 깔끔한 마감에 더 만족합니다~~~ ,1
시원해보이는 색상이 정말 예쁩니다. 청소가 용이해서 재구매 했어요! 공기 순환이 잘 되어 만족합니다. 저렴한 가격에 구입해서 좋아요.,1
환풍기 외관 덥개 부분이 부러져서 와서 속상하네요ㅜ 약하게 만들어진거 같아요 반품하고 싶지만 귀찮아서 그냥 설치하고 사용하는데 흡입력이 너무 약한게 성능도 별로네요ㅜ,2
회전과 높이조절 기능이 가능해서 만족합니다. 역시 000 제품은 너무 좋아서 또 사게 되네요.,1
"제품 높낮이 조절이 가능해서 편리해 좋네요.. ^^ 마음에 들어요.  배터리도 한번 완충하면 오래가서 좋고, 제품 바람도 무척 시원해서 만족해요.",1
제품 사이즈가 자그마해서 앙증맞아 좋네요.  제픔 성능도 우수해서 바람이 부드러운 느낌이고 시원해서 만족해요.  제품 색상도 에쉬브라운 색으로 너무 예뻐서 마음에 들어요.,1
작아서 예뻐요. 귀가 예민한 편인데 소음이 없어서 사용이 편합니다.,1
배터리가 4단으로 제일 강하게 설정하면 몇시간 못가 방전되어 불편하네요. ㅜㅜ 불만족스러워요. ~! 제품은 바람이 시원하고 강력해서 무척 좋습니다.,0
사이즈가 예상보다 너무 작아서 아쉽네요  그런데 크기대비 풍속도 다양하고 타이머 기능까지 있어서 맘에 듭니다  구입하자마자 바로 할인을 하다니.. 마음이 좀 아프네요..,0
"제품 소음없이 조용해서 좋고, 제품 외형도 고급스러워 마음에 들어요.  또 제품이 튼튼하고 견고해서 만족해요..  ",1
원 플러스 원 행사할때 제품 주문해서 완전 저렴하게 득템했어요. 기뻐요 ^^ 바람세기도 시원하고 1-24단까지 다양한 풍향 조절도 가능해 제품 성능에 만족합니다.,1
마감이 허술해서 마음에 들지 않습니다. 화이트 색상도 깔끔하지 않아 실망입니다. 회전각도가 넓지않아 아쉽네요. 소음이 적어 시끄럽지 않습니다.,0
시원하고 어플 연동기능에 온도감지까지..... 최고예요!!!! BLDC모터네요 역시! 소음도 없고 조용해서 너무 좋아요,1
